301,1908,,,"Illustrations of type specimens of Inferior Oolite ammonites",,"pls 1-7","Ammonites",9,9,8,,,24,,
303,1908,62,"Spencer, W. K.","The fossil Echinodermata, Cretaceous, volume 2",5,"pp 133-138, title page and index","Echinoderms",3,1,1,,,38,,
304,1908,62,"Lake, P.","The Cambrian Trilobites",3,"pp 49-64, pls 5, 6","Trilobites",7.5,7,6,,,,,4
306,1909,63,"Reynolds, S. H.","The Pleistocene Canidae. ",,"pp 1-28, pls 1-6","Mammals",9,9,8,,,3,,
307,1909,63,"Traquair, R. H.","Ganoid Fishes of British Carboniferous Formations, Part I, Palaeoniscidae, ",4,"pp 107-122, pls 24-30","fishes",11,11,10,,,36,"yes",
308,1909,63,"Woodward, A. S.","The Fishes of the English Chalk, Part V",,"pp. 153-184, pls. 33-38","Fishes",11,,,,,,"yes",
309,1909,63,"Woods, H.","The Cretaceous Lamellibranchia. Vol.11",,"pp. 217-260. pls. 35-44","Bivalves",,,,,,,"yes",
310,1909,63,"Sharpe, D.","The Mollusca of the Chalk. Part I. Cephalopoda.",,"Title page and index","Ammonites",3,1,1,,,15,"yes",
311,1909,63,"Phillips, J.","The Belemnitidae",,"Title-page and Index","belemnites",3,1,1,,,"c. 20",,7
312,1911,64,"Traquair, R. H.","Ganoid Fishes of British Carboniferous Formations, Part I, Palaeoniscidae, ",5,"pp 123-158, pls 31-35","fishes",11,10,8,,,64,,
313,1911,64,"Smith Woodward, A.","The fishes of the English Chalk",6,"pp 185-224, pls 39-46","fishes",14,14,12,,,20,,
314,1911,64,"Woods, H.","The Cretaceous Lamellibranchia. Vol. 11",7,"pp 21-284, pls 45-50","Bivalves",11,11,10,,,4,,
315,1911,64,"Pocock, R. I. ","The Carboniferous Arachnida",,"pp 1-84, pls 1-3","Arthropods",14.2,14,12,,,,,1
316,1911,64,"Elles and Wood","British graptolites",8,"pp 359-414, pls 36-41","Graptolites",,7,6,,,2,,
317,1912,65,"Reynolds, S. H.","The Pleistocene Mustidae",,"pp 1-28, pls 1-8","Mammals",7.5,7,6,,,,,6
318,1912,65,"Reynolds, S. H.","The Pleistocene Mammalia",,"Title page and index","Mammals",3,1,1,,,28,,
319,1912,65,"Traquair, R. H.","Ganoid Fishes of British Carboniferous Formations, Part I, Palaeoniscidae",6,"pp 159-180, pls 36-40","fishes",11,10,8,,,63,,
320,1912,65,"Smith Woodward, A.","The fishes of the English Chalk",7,"pp 225-264, pls 47-54, title page and index","fishes",14,12,10,,,22,,
321,1912,65,"Woods, H.","The Cretaceous Lamellibranchia. Vol. 11",8,"pp 285-340, pls 51-54","Bivalves",11,10,8,,,5,,
322,1912,65,"Hinde, G. J.","The fossil sponges volume 1",,"Title page and index","Sponges",3,1,1,,,58,,
324,1913,66,"Lake, P.","The Cambrian Trilobites",4,"pp 65-88, pls 7-10","Trilobites",9,9,7,,,35,,5
325,1913,66,"Woods, H.","The Cretaceous Lamellibranchia. Vol. 11",9,"pp 341-473, pls 55-62","Bivalves",17,15,12,,,17,,
326,1913,66,"Bell, T.","The fossil malacostracous Crustacea",,"Title page and index","Crustaceans",3,1,1,,,90,,1
328,1914,66,"Spencer, W. K.","The Palaeozoic Asterozoa",1,"pp 1-56, pl. 1","Echinoderms",8.4,8,7,,,,,1
329,1914,66,"Cowper Reed, F. R.","The Lower Palaeozoic Trilobites of Girvan, Supplement.",,"pp 1-56, pls 1-8, title page and index","Trilobites",11.7,12,10,,,,,3
331,1914,66,"Traquair, R. H.","Ganoid Fishes of British Carboniferous Formations, Part I, Palaeoniscidae",7,"pp I-vi, 181-186, title page and index","fishes",4.2,2,1,,,,,3
332,1914,66,"Traquair, R. H.","The fishes of the Old Red Sandstone, Part II",4,"pp 131-134, title page and index","fishes",5,2,1,,,,,4
335,1916,69,"Spencer, W. K.","The Palaeozoic Asterozoa",2,"pp 57-108, pls 2-5","Echinoderms",11.7,12,10,,,,,2
338,1918,70,"Spencer, W. K.","The Palaeozoic Asterozoa",3,"pp 109-168, pls 6-13","Echinoderms",11.7,12,10,,,,,2
339,1918,70,"Elles and Wood","British graptolites",11,"pp cxlix-clxxi, title page and index","Graptolites",,4,3,,,,,3
340,1919,71,"Smith Woodward, A.","The Wealden and Purbeck Fishes",3,"pp I-viii, 105-148, pls 21-26, title page and index","fishes",,,,,,,,2
342,1919,71,"Spencer, W. K.","The Palaeozoic Asterozoa",4,"pp 169-196","Echinoderms",11.7,12,10,,,,,3
343,1919,71,"Lake, P.","The Cambrian Trilobites",5,"pp 89-120, pls 11-14","Trilobites",11.7,12,10,,,,,2
344,1920,72,"Harmer, F. W.","The Pliocene Mollusca, Vol.11, Part I",,"pp. 485-652. pls. xlv-lii","Molluscs",,,,,,,"yes",
345,1920,72,"Cowper Reed, F. R.","The Ordovician and Silurian Bellerophontacea",1,"pp 1-48, pls 45-52","Molluscs",8.4,8,7,,,,"yes",4
346,1921,73,"Harmer, F. W.","The Pliocene Mollusca, Vol.11, Part II",,"pp. 653-704, pls. 53-56","Molluscs",,,,,,,"yes",
347,1921,73,"Cowper Reed, F. R.","The Ordovician and Silurian Bellerophontacea",2,"pp 49-92, pls 9-13, title page and index","Gastropods",11.7,12,10,,,,"yes",5
348,1921,73,"Bolton, H.","The Insects of the British Coal Measures",1,"pp 1-80, pls 1-4","Insects",11.7,12,10,,,,"yes",5
349,1922,74,"Spencer, W. K.","The Palaeozoic Asterozoa",5,"pp 197-236, pls 14-17","Echinoderms",11,10,8,,,1,"yes",3
350,1922,74,"Bolton, H.","The Insects of the British Coal Measures",2,"pp 81-156, pls 5-10","Insects",11.7,12,10,,,,"yes",5
351,1922,75,"Reynolds, S. H.","The Pleistocene Hippopotamus",,"pp 1-38, pls 1-6","Mammals",11.7,12,10,,,,"yes",3
355,1924,76,"Spath, L. F.","The Gault Ammonites",2,"pp 73-110, pls 5-8","Ammonites",8.4,8,7,,,,,1
356,1924,76,"Spencer, W. K.","The Palaeozoic Asterozoa",6,"pp 237-324, pls 18-22","Echinoderms",11.7,11,10,,,,,1
357,1924,76,"Woods, H.","The Macrurous Crustacea",1,"pp 1-16, pls 1-4","Crustaceans",4.2,4,3,,,,,2
358,1925,77,"Spath, L. F.","The Gault Ammonites",3,"pp 111-146, pls 9-12","Ammonites",8.4,8,7,,,,,1
359,1925,77,"Woods, H.","The Macrurous Crustacea",2,"pp 17-40, pls 5-8","Crustaceans",8.4,8,7,,,,,3
360,1925,77,"Chandler, M. E. J.","The Upper Eocene flora of Hordle",1,"pp 1-32, pls 1-4","plants",8.4,8,7,,,,,5
362,1926,78,"Woods, H.","The Macrurous Crustacea",3,"pp 41-48, pls 9-12","Crustaceans",8.4,8,7,,,,,2
363,1926,78,"Chandler, M. E. J.","The Upper Eocene flora of Hordle",2,"pp I-vii, 33-52, pls 5-8, title page and index","plants",8.4,8,7,,,,,4
364,1927,79,"Spath, L. F.","The Gault Ammonites",5,"pp 187-206, pls 17-20","Ammonites",,8,7,,,,,1
365,1927,79,"Woods, H.","The Macrurous Crustacea",4,"pp 49-64, pls 17-20","Crustaceans",,8,7,,,,,1
367,1927,79,"Bulman, O. M. B.","The dendroid graptolites",1,"pp 1-28. pls 1, 2","Graptolites",4.2,4,3,,,,,4
370,1928,80,"Bulman, O. M. B.","The dendroid graptolites",2,"pp I-xxxii, 29-64, pls 3-6","Graptolites",8.4,8,7,,,,,5
371,1929,81,"Reynolds, S. H.","The Pleistocene giant deer",,"pp 1-62, pls 1, 2","Mammals",11.7,12,10,,,,"yes",3
372,1929,81,"Sahni, M. R.","The British Chalk Terebratulidae.",,"pp. i-vi, 1-62, pls. 1-10, including title-page and index","Bivalves",11.7,12,10,,,,"yes",
373,1929,81,"Arkell, W. J.","The Corallian Lamellibranchia",1,"pp 1-72, pls 1-4","Bivalves",11.7,12,10,,,,"yes",4
376,1930,82,"Spencer, W. K.","The Palaeozoic Asterozoa",8,"pp 389-436, pls 25-28","Echinoderms",8.4,8,7,,,,,1
377,1930,82,"Woods, H.","The Macrurous Crustacea",6,"pp 73-88, pls 20-24","Crustaceans",8.4,8,7,,,,,2
378,1931,83,"Arkell, W. J.","The Corallian Lamellibranchia",3,"pp 105-132, pls 9-12","Bivalves",8.4,8,7,,,,"yes",3
379,1929,83,"Spath, L. F.","The Gault Ammonites, Part VIII",,"pp. 313-378, pls. 31-36","Ammonites",,8,7,,,,"yes",
380,1929,83,"Woods, H.","The Macrurous Crustacea, Part VII",,"pp. 89-122, pls 25-27, including title-page and index","Crustaceans",8.4,8,7,,,,"yes",
381,1931,83,"Lake, P.","The Cambrian Trilobites",6,"pp 121-148, pls 15-18","Trilobites",4.2,4,3,,,,"yes",2
382,1931,83,"Cowper Reed, F. R.","The Lower Palaeozoic Trilobites of Girvan, Supplement 2.",,"pp 1-30","Trilobites",12.5,12,10,,,,"yes",4
383,1932,84,"Arkell, W. J.","The Corallian Lamellibranchia",4,"pp 133-180, pls 13-20","Molluscs",8.4,8,7,,,,"yes",3
384,1932,84,"Spath, L. F.","The Gault Ammonites",9,"pp 379-410, pls 37-42","Ammonites",,8,7,,,,"yes",1
385,1932,84,"Lake, P.","The Cambrian Trilobites",7,"pp 149-172, pls 19-22","Trilobites",8.4,8,7,,,,"yes",1
386,1933,85,"Arkell, W. J.","The Corallian Lamellibranchia",5,"pp 181-228, pls 21-28","Bivalves",11.7,11,9,,,,,3
388,1933,85,"Reynolds, S. H.","The Pleistocene red deer, reindeer and roe",,"pp 1-46, pls 1-3","Mammals",8.4,8,7,,,,,4
389,1934,86,"Arkell, W. J.","The Corallian Lamellibranchia",6,"pp 229-276, pls 29-36","Bivalves",8.4,8,7,,,,,4
390,1934,86,"Spath, L. F.","The Gault Ammonites",11,"pp 443-496, pls 49-56","Ammonites",,8,7,,,,,1
391,1934,86,"Lake, P.","The Cambrian Trilobites",8,"pp 173-196, pls 23-25","Trilobites",8.4,8,7,,,,,6
392,1934,86,"Bulman, O. M. B.","The dendroid graptolites",3,"pp xxxiii-lx, 65-92, pls 7-10","Graptolites",5.4,5,4,,,,,5
393,1934,87,"Arkell, W. J.","The Corallian Lamellibranchia",7,"pp 277-324, pls 37-44","Molluscs",11.7,10,8,,,,"yes",6
394,1934,87,"Spencer, W. K.","The Palaeozoic Asterozoa",9,"pp 437-494, pls 29-32","Echinoderms",8.4,8,7,,,,"yes",4
395,1933,87,"Reynolds, S. H.","The Pleistocene Ovibos. Supplement.",,"pp. 1-21. pls 1-3","Mammals",,7,6,,,,"yes",
396,1933,87,"Reynolds, S. H.","The Pleistocene Alces. Supplement,",,"pp. 1-16, 8 text-figs","Mammals",3,2,1,,,,"yes",
397,1935,88,"Arkell, W. J.","The Corallian Lamellibranchia",8,"pp i-xvi, 325-350, pls 45-49","Bivalves",8.4,8,7,,,,,4
398,1935,88,"Arkell, W. J.","The ammonites of the English Corallian Beds",1,"pp i-xxxii, 1-30, pls A, B, 1-6","Ammonites",8.4,8,7,,,,,4
399,1935,88,"Lake, P.","The Cambrian Trilobites",9,"pp 197-224, pls 26-31","Trilobites",8.4,8,7,,,,,3
400,1935,88,"Cowper Reed, F. R.","The Lower Palaeozoic Trilobites of Girvan, Supplement 3.",,"pp 1-64, pls 1-4","Trilobites",8.4,8,7,,,,,4
401,1936,89,"Arkell, W. J.","The Corallian Lamellibranchia",9,"pp xvii-xxii, 351-376, pls 50-56","Bivalves",7.9,7,6,,,,,5
402,1936,89,"Arkell, W. J.","The ammonites of the English Corallian Beds",2,"pp xxxiii-xlvi, 31-42, pls C, D, 7-10","Ammonites",7.5,7,6,,,,,3
403,1936,89,"Swinerton, H. H.","The Cretaceous belemnites",1,"pp i-xvi, 1-16, pls 1-5","belemnites",7.5,7,6,,,,,5
405,1937,90,"Arkell, W. J.","The Corallian Lamellibranchia",10,"pp 377-392, xxiii-xxxviii, title page and index","Bivalves",7.5,7,6,,,,,6
406,1937,90,"Arkell, W. J.","The ammonites of the English Corallian Beds",3,"pp xlvii-liv, 43-67, pls E, F, 11-13, index","Ammonites",7.5,7,6,,,,,3
407,1937,90,"Swinerton, H. H.","The Cretaceous belemnites",2,"pp xvii-xxxii, 17-30, pls 6-9","belemnites",7.5,7,6,,,,,5
408,1937,90,"Lake, P.","The Cambrian Trilobites",10,"pp225-248, pls 32-35","Trilobites",7.5,7,6,,,,,2
410,1938,91,"Arkell, W. J.","The ammonites of the English Corallian Beds",4,"pp 69-104, pls 14-18","Ammonites",10,10,8,,,,,1
411,1938,91,"Lake, P.","The Cambrian Trilobites",11,"pp 249-272, pls 36-39","Trilobites",7.5,7,6,,,,,4
412,1938,91,"Hill, D.","The Carboniferous rugose corals of Scotland",1,"pp 1-78, pls 1, 2","Corals",10,10,8,,,,,4
413,1939,92,"Reynolds, S. H.","The Pleistocene Bovidae",,"pp 1-65, pls 1-5","Mammals",10,10,8,,,,,4
414,1939,92,"Reynolds, S. H.","The Pleistocene giant deer, Errata",,,"Mammals",1.3,1,1,,,,,7
415,1939,92,"Spath, L. F.","The Gault Ammonites",13,"pp 541-608, pls 59-64","Ammonites",10,10,8,,,,,1
416,1939,92,"Hill, D.","The Carboniferous rugose corals of Scotland",2,"pp 79-114, pls 3-5","Corals",7.5,7,6,,,,,6
417,1939,93,"Arkell, W. J.","The ammonites of the English Corallian Beds",5,"pp lv--lxiv, 105-190, pls 19-40","Ammonites",23,23,18,,,,,3
418,1940,94,"Arkell, W. J.","The ammonites of the English Corallian Beds",6,"pp lxv-lxxii, 191-216, pls 41-47","Ammonites",,12,10,,,,,4
419,1940,94,"Hill, D.","The Carboniferous rugose corals of Scotland",3,"pp 115-204, pls 6-11","Corals",14,12,10,,,,,4
420,1940,94,"Spencer, W. K.","The Palaeozoic Asterozoa",10,"pp 495-540, pls 33-37","Echinoderms",9,9,7,,,9,,5
421,1940,94,"Lake, P.","The Cambrian Trilobites",12,"pp 273-306, pls 40-43","Trilobites",7.5,7,6,,,,,3
423,1941,95,"Arkell, W. J.","The ammonites of the English Corallian Beds",7,"pp lxxiii-lxxx, 217-238, pls 48-51","Ammonites",10,10,8,,,,,5
424,1941,95,"Hill, D.","The Carboniferous rugose corals of Scotland",4,"pp 205-213, Errata, title page, index","Corals",7.5,7,6,,,,,5
426,1942,96,"Arkell, W. J.","The ammonites of the English Corallian Beds",8,"pp 239-254, pls 52-55","Ammonites",5.9,6,5,,,,,5
427,1942,96,"Lake, P.","The Cambrian Trilobites",13,"pp 307-332, pls 44-46","Trilobites",7,7,6,,,,,3
429,1943,97,"Arkell, W. J.","The ammonites of the English Corallian Beds",9,"pp lxxxi-lxxxiv, 255-268, pls 56-60","Ammonites",7.5,7,6,,,,,4
430,1945,98,"Bulman, O. M. B.","The Caradoc (Balatchie) graptolites from limestones in Laggan Burn, Ayrshire",1,"pp 1-42, pls 1-3","Graptolites",10,8,7,,,,,8
431,1945,98,"Arkell, W. J.","The ammonites of the English Corallian Beds",10,"pp 269-296, pls 61-66","Ammonites",10,10,8,,,,,1
432,1946,99,"Lake, P.","The Cambrian Trilobites",14,"pp 333-350, pl. 47, Addenda, Errata, title page and index","Trilobites",7.5,7,6,,,,,1
433,1946,99,"Bulman, O. M. B.","The Caradoc (Balatchie) graptolites from limestones in Laggan Burn, Ayrshire",2,"pp 43-58, pls 4-6","Graptolites",7.5,7,6,,,,,6
434,1946,99,"Trueman, A. & Weir, J.","The British Carboniferous non-marine Lamellibranchia",1,"pp i-xxxii, 1-18, pls 1-4","Bivalves",10,10,8,,,,,4
435,1946,99,"Arkell, W. J.","The ammonites of the English Corallian Beds",11,"pp 297-332, pls 67-70","Ammonites",10,10,8,,,,,2
436,1947,100,"Trueman, A. & Weir, J.","The British Carboniferous non-marine Lamellibranchia",2,"pp 19-44, pls 5-7","Bivalves",7.5,7,6,,,,,4
437,1947,100,"Wills, J.","The British Triassic scorpions",1,"pp i-iv, 1-74, pls 1-6","Arthropods",11,10,8,,,,,4
438,1947,100,"Arkell, W. J.","The ammonites of the English Corallian Beds",12,"pp 333-350, pls 71-74","Ammonites",7.5,7,6,,,,,6
439,1947,101,"Bulman, O. M. B.","The Caradoc (Balatchie) graptolites from limestones in Laggan Burn, Ayrshire",3,"pp i-ix, 59-78, pls 7-10, contents, title page, index","Graptolites",9,9,7,,,,,7
440,1947,101,"Trueman, A. & Weir, J.","The British Carboniferous non-marine Lamellibranchia",3,"pp 45-74, pls 8-12","Bivalves",7.5,7,6,,,,,4
441,1947,101,"Wills, J.","The British Triassic scorpions",1,"pp v-vi, 75-137, title page and contents","Arthropods",7,7,6,,,2,,5
442,1947,101,"Arkell, W. J.","The ammonites of the English Corallian Beds",13,"pp 351-378, pls 75-78","Ammonites",7.5,7,6,,,,,6
443,1948,102,"Trueman, A. & Weir, J.","The British Carboniferous non-marine Lamellibranchia",4,"pp 75-100, pls 13, 14","Bivalves",7.5,7,6,,,,,3
444,1948,102,"Cox, L. R. & Arkell, W. J.","A survey of the Mollusca of the British Great Oolote Series: Primarily a nomenclatorial revision of the monographs by Morris and Lycett (1851-55, Lycett (1863) and Blake (1905-07)",1,"pp i-xiii, 1-48, revised explanation of plates, Morris & Lycett (Bivalves 1-15.","Bivalves",10,10,8,,,,,4
445,1948,102,"Arkell, W. J.","The ammonites of the English Corallian Beds",14,"pp i-v, 379-420, title page and index","Ammonites",10,10,8,,,,,6
446,1948,102,"Swinerton, H. H.","The Cretaceous belemnites",3,"pp 31-52, pls 10-13","belemnites",7.5,7,6,,,,,6
447,1950,103,"Whittington, H. B.","British trilobites of the Family Harpidae",,"pp 1-55, pls 1-7","Trilobites",,10,8,,,,,2
448,1950,103,"Wright, J.","The British Carboniferous Crinoidea ",1,"pp i-xxx, 1-24, pls 1-7","Echinoderms",10,10,8,,,,,4
449,1950,103,"Cox, L. R. & Arkell, W. J.","A survey of the Mollusca of the British Great Oolote Series: Primarily a nomenclatorial revision of the monographs by Morris and Lycett (1851-55, Lycett (1863) and Blake (1905-07)",2,"pp xiv-xxiv, 49-105, revised explanation of plates, Morris and Lycett (Univalves) 1-15, Lycett (supplementary monograph, 31-45, and Blake (Cornbrash) 2-9","Bivalves",9,8,7,,,,,5
450,1950,103,"Pettitt, N. F.","The Rhynchonellidae of the British Chalk",1,"pp i-vi, 1-26, pls 1, 2","Brachiopods",7,6,5,,,,,1
451,1951,104,"Wright, J.","The British Carboniferous Crinoidea ",2,"pp 25-46, pls 8-12","Echinoderms",7.5,7,6,,,,,3
